organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,WHO NMCP P Confirmed malaria cases NMCP January 2018,WHO NMCP P Confirmed malaria cases NMCP February 2018,WHO NMCP P Confirmed malaria cases NMCP March 2018,WHO NMCP P Confirmed malaria cases NMCP April 2018,WHO NMCP P Confirmed malaria cases NMCP May 2018,WHO NMCP P Confirmed malaria cases NMCP June 2018,WHO NMCP P Confirmed malaria cases NMCP July 2018,WHO NMCP P Confirmed malaria cases NMCP August 2018,WHO NMCP P Confirmed malaria cases NMCP September 2018,WHO NMCP P Confirmed malaria cases NMCP October 2018,WHO NMCP P Confirmed malaria cases NMCP November 2018,WHO NMCP P Confirmed malaria cases NMCP December 2018
lXEN2NtidAc,Anchor Farm Health Centre,1033,,610.0,1312.0,2412.0,1393.0,1105.0,1005.0,307.0,254.0,115.0,356.0,139.0,88.0
T118NxiYoIL,Bua Health Centre (Kasungu),1001,,1027.0,1344.0,1177.0,1103.0,703.0,266.0,570.0,77.0,39.0,149.0,149.0,265.0
LmCUb5UShy6,Chamama Health Facility,1024,,880.0,1087.0,832.0,1015.0,524.0,473.0,277.0,154.0,150.0,172.0,110.0,79.0
Dl6P4C549hR,Chambwe Health Centre,,,,,,,,,,,,,,
nN7JVSObAf7,Chamwabvi Dispensary,1002,,1678.0,1705.0,900.0,795.0,1948.0,1202.0,342.0,153.0,142.0,240.0,205.0,167.0
Q6dBdTXnxWu,Chilanga Health Centre,,,,,,,,,,,,,,
dCOqnRxMAXD,Chinyama Dispensary,1034,Chinyama Dispensary,1144.0,968.0,869.0,1122.0,443.0,487.0,412.0,293.0,258.0,223.0,278.0,298.0
n18VsHigwU8,Chulu Health Centre,1003,,1042.0,1529.0,2105.0,2557.0,1172.0,1970.0,595.0,339.0,195.0,231.0,195.0,172.0
n89uKexauZq,Dwangwa Health Centre,1004,,566.0,799.0,799.0,876.0,1178.0,615.0,52.0,168.0,131.0,250.0,296.0,127.0
lcGa2ZnUlen,Fpam Clinic Kasungu,,,,,,,,,,,,,,
HcsIEmls8R2,Gogode Health Centre,1021,,1575.0,787.0,991.0,1874.0,1588.0,1030.0,599.0,341.0,303.0,277.0,297.0,283.0
RcC6kifTBcF,K2 Taso Clinic,,,,,,,,,,,,,,
fhlpdEEnGrQ,Kakwale Health Centre,,,,,,,,,,,,,,
GcRdYduUYh0,Kalikeni Private Clinic,1025,,,,,,,,,,,,,
BOEaJ4eqVC9,Kaluluma Rural Hospital,1005,,954.0,1112.0,1721.0,1638.0,1671.0,1017.0,408.0,262.0,188.0,246.0,290.0,199.0
cez54P9k6OJ,Kamboni Health Centre,1006,,1049.0,1733.0,1710.0,624.0,1495.0,1338.0,577.0,388.0,274.0,673.0,332.0,320.0
wKP5w5OcIFj,Kamuzu Academy Clinic,,,,,,,,,,,,,,
dy2GeuSwyIq,Kapelula Health Centre,1007,,1908.0,1572.0,1947.0,1957.0,1858.0,1205.0,510.0,462.0,475.0,828.0,865.0,976.0
D7QhLNJChdq,Kapyanga Health Centre,,,,,,,,,,,,,,
TrYObnlA8UT,Kasalika Dispensary,1018,,0.0,0.0,595.0,1997.0,2294.0,983.0,484.0,207.0,266.0,259.0,168.0,97.0
wNoaGHOI6Zl,Kasungu District Hospital,1008,,5194.0,5325.0,6893.0,9523.0,9315.0,5271.0,1565.0,1211.0,604.0,1169.0,867.0,1130.0
flfOvLzldtj,Kawamba Health Centre,1009,,1702.0,2464.0,2814.0,735.0,2581.0,1465.0,800.0,616.0,396.0,604.0,412.0,418.0
PYQecgNXvAc,Khola Health Centre,1023,,895.0,1185.0,1430.0,0.0,1105.0,644.0,299.0,139.0,192.0,423.0,263.0,233.0
z9yDHU0ZYQd,Linyangwa Health Centre,1020,,648.0,1283.0,957.0,2010.0,1768.0,300.0,441.0,230.0,187.0,342.0,232.0,149.0
p4eKC1ZsXQ4,Livwezi Health Centre,1026,,1194.0,981.0,1223.0,1361.0,1233.0,559.0,177.0,129.0,128.0,135.0,105.0,102.0
MrIB1LvLmRs,Lodjwa Health Centre,1027,,591.0,740.0,826.0,542.0,,840.0,88.0,79.0,73.0,71.0,110.0,140.0
H3xKaK0d3or,Mdunga Heallth Centre,1028,,1259.0,986.0,696.0,1540.0,1029.0,630.0,293.0,235.0,297.0,439.0,401.0,388.0
F17kSj3t4iD,Mkhota R Growth Health Centre,1010,,1079.0,1303.0,1040.0,760.0,1702.0,1077.0,1291.0,566.0,962.0,322.0,143.0,51.0
mwyB6seePPU,Mnyanja Health Centre,1029,,1084.0,892.0,1226.0,1017.0,1149.0,1155.0,323.0,166.0,0.0,71.0,60.0,53.0
GJhhq8K1EBF,Mpepa / Chisinga Health Centre,1030,,964.0,1571.0,1016.0,1454.0,986.0,1157.0,535.0,328.0,283.0,313.0,375.0,169.0
PbfmrMdVBs3,Mtunthama Health Centre,1011,,539.0,1264.0,1789.0,2135.0,1950.0,1535.0,709.0,398.0,346.0,370.0,344.0,257.0
GaqkYT3AgFn,Mziza Health Centre,1031,,1478.0,1520.0,1692.0,1312.0,1625.0,801.0,97.0,47.0,88.0,157.0,108.0,91.0
XkcRltXu9tK,Newa / Mpasazi Health Centre,1012,,98.0,86.0,167.0,388.0,315.0,217.0,130.0,41.0,25.0,21.0,12.0,21.0
QcCfOxMgWJN,Nkhamenya Hospital,1013,,260.0,232.0,405.0,520.0,574.0,467.0,330.0,196.0,130.0,99.0,97.0,94.0
bWYHqt0OcHy,Ofesi Health Centre,1022,,1985.0,1628.0,1110.0,1537.0,1673.0,969.0,328.0,211.0,119.0,146.0,143.0,164.0
B1gKsva7Nw4,Santhe Health Centre,1014,,1959.0,2126.0,1651.0,1025.0,3109.0,1567.0,371.0,722.0,779.0,719.0,787.0,512.0
xcRa7FraazI,Simlemba Health Centre,1015,,1685.0,912.0,1258.0,1115.0,1009.0,749.0,265.0,164.0,100.0,228.0,286.0,355.0
WEXi1SR3Ps6,St Andrews Community Hospital,1032,,195.0,145.0,271.0,507.0,603.0,492.0,161.0,85.0,54.0,211.0,37.0,46.0
VQ1v5jwMz7G,St Augustin Anglican Clinic (Shayona),,,,,,,,,,,,,,
TfUBwEL4ESW,St. Faith Health Centre,1038,,,,,775.0,1951.0,742.0,,223.0,142.0,547.0,145.0,247.0
bPKUlNCxhvT,Wimbe Health Centre,1016,,1725.0,1356.0,1865.0,2571.0,1843.0,1041.0,667.0,446.0,466.0,547.0,230.0,127.0
