organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,WHO NMCP P Confirmed malaria cases NMCP January 2017,WHO NMCP P Confirmed malaria cases NMCP February 2017,WHO NMCP P Confirmed malaria cases NMCP March 2017,WHO NMCP P Confirmed malaria cases NMCP April 2017,WHO NMCP P Confirmed malaria cases NMCP May 2017,WHO NMCP P Confirmed malaria cases NMCP June 2017,WHO NMCP P Confirmed malaria cases NMCP July 2017,WHO NMCP P Confirmed malaria cases NMCP August 2017,WHO NMCP P Confirmed malaria cases NMCP September 2017,WHO NMCP P Confirmed malaria cases NMCP October 2017,WHO NMCP P Confirmed malaria cases NMCP November 2017,WHO NMCP P Confirmed malaria cases NMCP December 2017
lXEN2NtidAc,Anchor Farm Health Centre,1033,,330.0,375.0,347.0,1141.0,1298.0,429.0,444.0,212.0,196.0,387.0,273.0,85.0
T118NxiYoIL,Bua Health Centre (Kasungu),1001,,1371.0,611.0,1151.0,1809.0,1898.0,437.0,443.0,272.0,172.0,267.0,288.0,362.0
LmCUb5UShy6,Chamama Health Facility,1024,,804.0,889.0,1502.0,949.0,873.0,530.0,174.0,87.0,81.0,133.0,182.0,141.0
Dl6P4C549hR,Chambwe Health Centre,,,,,,,,,,,,,,
nN7JVSObAf7,Chamwabvi Dispensary,1002,,1830.0,1320.0,1730.0,1950.0,1570.0,332.0,790.0,93.0,480.0,336.0,242.0,285.0
Q6dBdTXnxWu,Chilanga Health Centre,,,,,,,,,,,,,,
dCOqnRxMAXD,Chinyama Dispensary,1034,Chinyama Dispensary,,,,720.0,1152.0,321.0,399.0,179.0,77.0,164.0,239.0,202.0
n18VsHigwU8,Chulu Health Centre,1003,,349.0,429.0,1192.0,1566.0,2319.0,1342.0,1062.0,577.0,280.0,221.0,147.0,154.0
n89uKexauZq,Dwangwa Health Centre,1004,,433.0,570.0,606.0,767.0,1039.0,565.0,167.0,100.0,163.0,158.0,67.0,7.0
lcGa2ZnUlen,Fpam Clinic Kasungu,,,,,,,,,,,,,,
HcsIEmls8R2,Gogode Health Centre,1021,,1266.0,1056.0,760.0,1196.0,1192.0,728.0,320.0,137.0,163.0,205.0,172.0,239.0
RcC6kifTBcF,K2 Taso Clinic,,,,,,,,,,,,,,
fhlpdEEnGrQ,Kakwale Health Centre,,,,,,,,,,,,,,
GcRdYduUYh0,Kalikeni Private Clinic,1025,,,,,,,,,,,,,
BOEaJ4eqVC9,Kaluluma Rural Hospital,1005,,764.0,366.0,947.0,1265.0,1312.0,576.0,429.0,205.0,140.0,295.0,424.0,280.0
cez54P9k6OJ,Kamboni Health Centre,1006,,128.0,253.0,584.0,823.0,1236.0,677.0,814.0,396.0,366.0,335.0,427.0,385.0
wKP5w5OcIFj,Kamuzu Academy Clinic,,,,,,,,,,,,,,
dy2GeuSwyIq,Kapelula Health Centre,1007,,1917.0,1320.0,1661.0,1100.0,1168.0,708.0,467.0,487.0,337.0,971.0,865.0,946.0
D7QhLNJChdq,Kapyanga Health Centre,,,,,,,,,,,,,,
TrYObnlA8UT,Kasalika Dispensary,1018,,404.0,561.0,801.0,1367.0,1841.0,1573.0,248.0,266.0,228.0,372.0,,9.0
wNoaGHOI6Zl,Kasungu District Hospital,1008,,2020.0,1662.0,2627.0,5196.0,6415.0,5404.0,2556.0,1420.0,1069.0,1527.0,1327.0,1683.0
flfOvLzldtj,Kawamba Health Centre,1009,,301.0,343.0,581.0,834.0,1963.0,784.0,878.0,515.0,630.0,1038.0,784.0,1680.0
PYQecgNXvAc,Khola Health Centre,1023,,135.0,198.0,501.0,324.0,1183.0,183.0,313.0,231.0,243.0,42.0,104.0,433.0
z9yDHU0ZYQd,Linyangwa Health Centre,1020,,0.0,423.0,663.0,895.0,1372.0,493.0,516.0,279.0,333.0,366.0,416.0,365.0
p4eKC1ZsXQ4,Livwezi Health Centre,1026,,236.0,381.0,447.0,602.0,713.0,154.0,119.0,104.0,116.0,101.0,143.0,107.0
MrIB1LvLmRs,Lodjwa Health Centre,1027,,547.0,598.0,446.0,835.0,597.0,89.0,84.0,95.0,61.0,235.0,34.0,20.0
H3xKaK0d3or,Mdunga Heallth Centre,1028,,706.0,460.0,614.0,394.0,663.0,245.0,199.0,156.0,394.0,388.0,430.0,270.0
F17kSj3t4iD,Mkhota R Growth Health Centre,1010,,300.0,333.0,463.0,710.0,1099.0,246.0,419.0,332.0,229.0,261.0,449.0,300.0
mwyB6seePPU,Mnyanja Health Centre,1029,,545.0,596.0,1084.0,1177.0,1818.0,474.0,360.0,37.0,191.0,418.0,102.0,88.0
GJhhq8K1EBF,Mpepa / Chisinga Health Centre,1030,,355.0,311.0,1408.0,669.0,1261.0,126.0,512.0,244.0,240.0,401.0,172.0,42.0
PbfmrMdVBs3,Mtunthama Health Centre,1011,,634.0,1019.0,1166.0,747.0,1640.0,550.0,566.0,282.0,244.0,340.0,315.0,331.0
GaqkYT3AgFn,Mziza Health Centre,1031,,400.0,378.0,496.0,697.0,1356.0,820.0,581.0,406.0,285.0,415.0,362.0,409.0
XkcRltXu9tK,Newa / Mpasazi Health Centre,1012,,39.0,0.0,21.0,225.0,211.0,38.0,71.0,34.0,36.0,37.0,28.0,
QcCfOxMgWJN,Nkhamenya Hospital,1013,,201.0,229.0,304.0,335.0,374.0,419.0,287.0,160.0,84.0,125.0,80.0,178.0
bWYHqt0OcHy,Ofesi Health Centre,1022,,620.0,1193.0,1401.0,1005.0,2106.0,891.0,571.0,46.0,179.0,243.0,211.0,127.0
B1gKsva7Nw4,Santhe Health Centre,1014,,599.0,733.0,975.0,983.0,1838.0,904.0,1173.0,837.0,549.0,537.0,544.0,505.0
